date,amfi_code,nav_value,benchmark_value
2022-01-03,120503,100.64605698361349,100.0014915304993
2022-01-04,120503,100.5293909312916,99.86886225238183
2022-01-05,120503,101.36099643773855,100.79131092303082
2022-01-06,120503,103.26418682215674,101.48911222800376
2022-01-07,120503,103.02566302157818,99.92984146753977
2022-01-10,120503,102.78771047035843,101.44531783481214
2022-01-11,120503,104.78698836141108,102.88593402257172
2022-01-12,120503,105.80438794397445,102.28347236783581
2022-01-13,120503,105.26122073723579,102.72922735453733
2022-01-14,120503,105.99917773773768,103.27783243874558
2022-01-17,120503,105.46271459395966,103.58836178680045
2022-01-18,120503,104.92604046231232,103.05974503781836
2022-01-19,120503,105.28316119970373,102.40879560522214
2022-01-20,120503,102.9185684712814,102.42358950713377
2022-01-21,120503,100.83971486688313,103.66571009965388
2022-01-24,120503,100.2097237548542,104.27070334405686
2022-01-25,120503,99.04188229538325,103.92596945463441
2022-01-26,120503,99.4648870044494,104.76953520872647
2022-01-27,120503,98.43082130312318,101.82703815895336
2022-01-28,120503,96.81186615475225,103.0375230622918
2022-01-31,120503,98.56297839719016,101.28618008549036
2022-02-01,120503,98.34522167085935,100.95959197291143
2022-02-02,120503,98.47408719680361,99.8695616526425
2022-02-03,120503,96.83971491492994,98.61651676270313
2022-02-04,120503,96.25552035821583,99.80073031276928
2022-02-07,120503,96.43177105749898,99.37388139030352
2022-02-08,120503,95.14807875326807,99.75796529930352
2022-02-09,120503,95.62461612828871,99.75106147062671
2022-02-10,120503,94.98319830648944,100.2668151840183
2022-02-11,120503,94.69821784226615,100.38394877362215
2022-02-14,120503,94.06180042508291,99.1361840960326
2022-02-15,120503,96.19957477637163,100.16349947788581
2022-02-16,120503,96.23209343639442,99.70900100508015
2022-02-17,120503,95.05878063978486,98.19683234450264
2022-02-18,120503,96.04459142649661,97.81571555058535
2022-02-21,120503,94.68554856752466,99.32282076471
2022-02-22,120503,94.97020771063414,100.20701411003785
2022-02-23,120503,92.78436946997921,99.89772302216083
2022-02-24,120503,91.35194279368383,99.58878161727611
2022-02-25,120503,91.6134226413696,99.30830470116153
2022-02-28,120503,92.47107076348604,101.41041123843183
2022-03-01,120503,92.70746560034621,101.83829771570059
2022-03-02,120503,92.62516182321141,102.3169801277548
2022-03-03,120503,92.33679706176872,103.41206183672722
2022-03-04,120503,90.74470164058856,103.70036345425379
2022-03-07,120503,90.00620941638705,103.47321595291974
2022-03-08,120503,89.55368832488348,103.31143573593397
2022-03-09,120503,90.73449550146331,103.27878802112266
2022-03-10,120503,91.15399913500288,103.28165686158938
2022-03-11,120503,89.27107820500747,104.07447737281672
2022-03-14,120503,89.66288964863196,104.17016957293647
2022-03-15,120503,89.29339001328094,104.97503005156041
2022-03-16,120503,88.6127007861049,104.93228780935546
2022-03-17,120503,89.30743459203006,105.05677442870112
2022-03-18,120503,90.45699937836274,102.99955195269095
2022-03-21,120503,91.51311753992361,103.9845651728341
2022-03-22,120503,90.63728115656274,104.38645353393974
2022-03-23,120503,90.34628576857563,105.46999547494597
2022-03-24,120503,90.7505999591191,102.4575030568122
2022-03-25,120503,91.85835092598127,104.63818263502334
2022-03-28,120503,91.37608623790807,104.53397385802879
2022-03-29,120503,91.21819679307734,105.73421498351956
2022-03-30,120503,90.05279131493853,104.67697230089969
2022-03-31,120503,88.8051567647414,105.36027626068956
2022-04-01,120503,89.71543713952117,104.29253882366096
2022-04-04,120503,91.2204028624431,103.68371135368682
2022-04-05,120503,91.18718755626554,105.7097235823906
2022-04-06,120503,92.33089326099122,105.55043763305633
2022-04-07,120503,92.77774083435776,105.82215915730887
2022-04-08,120503,92.1058966639764,106.78521247971764
2022-04-11,120503,92.55138960785767,107.35724152200454
2022-04-12,120503,94.30583436059108,107.56167000590308
2022-04-13,120503,94.31244402365017,107.99725282302842
2022-04-14,120503,96.13038465213302,110.63607453013549
2022-04-15,120503,93.15640458989881,110.6165817847181
2022-04-18,120503,94.12176857896611,110.88327730890973
2022-04-19,120503,94.2671457514019,112.09263064731667
2022-04-20,120503,93.97604049043233,113.37668080031649
2022-04-21,120503,94.12650828409113,114.76784703317482
2022-04-22,120503,91.92857647536859,115.54681109616118
2022-04-25,120503,91.73221127631955,114.2723240932671
2022-04-26,120503,92.17118209226986,116.18459319733716
2022-04-27,120503,93.85189857664741,114.89919030310092
2022-04-28,120503,93.31513679840717,115.29287567835182
2022-04-29,120503,92.45645807295098,114.46936651058851
2022-05-02,120503,91.94599815323168,114.4417354981574
2022-05-03,120503,93.00198188939268,114.86375360037353
2022-05-04,120503,93.41537693729762,115.2788220619455
2022-05-05,120503,92.86823163631095,115.81131886628759
2022-05-06,120503,93.48666061856605,117.72650369722484
2022-05-09,120503,93.64230941979032,118.30752437494377
2022-05-10,120503,94.77760442155714,118.06599171388422
2022-05-11,120503,94.02652629879466,119.2514771867957
2022-05-12,120503,93.70383236061373,120.71763890641405
2022-05-13,120503,93.30977983701412,119.28398679251262
2022-05-16,120503,91.71771163575198,120.04430300764777
2022-05-17,120503,92.08948418174555,120.93403866023755
2022-05-18,120503,92.42401426813208,120.62255671350952
2022-05-19,120503,92.47589754954234,122.33021846729335
2022-05-20,120503,92.26181162976782,122.19558722724099
2022-05-23,120503,90.74092651011063,122.39791434687059
2022-05-24,120503,90.3282600175272,122.2350372093638
2022-05-25,120503,90.00194247600862,122.30297427885561
2022-05-26,120503,89.1804652956351,121.01111843101621
2022-05-27,120503,89.05245311053997,119.31690119938554
2022-05-30,120503,89.52875997686424,121.26714199077264
2022-05-31,120503,91.59993897470734,120.28856302669682
2022-06-01,120503,91.8376347482155,119.14414684078989
2022-06-02,120503,92.1673873901391,116.62616622051914
2022-06-03,120503,92.13113325713776,115.92762009706146
2022-06-06,120503,90.05585602544622,114.44016463585585
2022-06-07,120503,90.07223119645737,116.36506555431596
2022-06-08,120503,90.18236814479341,117.58668589852994
2022-06-09,120503,92.89315141308069,116.82454738799557
2022-06-10,120503,92.72516979405869,119.50267514174942
2022-06-13,120503,93.10706472118169,120.7237122323795
2022-06-14,120503,93.11483532167988,120.37985321260504
2022-06-15,120503,91.85553758313664,117.41922422313782
2022-06-16,120503,93.16116059980281,120.15619890896072
2022-06-17,120503,94.04835262832385,118.5346039313757
2022-06-20,120503,94.98811982258731,116.63165088515109
2022-06-21,120503,93.9990418282442,117.87094432182141
2022-06-22,120503,95.62837720247957,120.79385190001659
2022-06-23,120503,94.06751048450805,122.51428589906037
2022-06-24,120503,94.77699446963787,123.25416084497182
2022-06-27,120503,97.31564057567324,124.03652198221839
2022-06-28,120503,96.20756227203829,125.1446835681775
2022-06-29,120503,95.60188056415103,126.14450022380184
2022-06-30,120503,95.76400379927105,126.54966554032971
2022-07-01,120503,95.2333076677272,126.73215155508628
2022-07-04,120503,93.5088266301233,126.70351879799564
2022-07-05,120503,93.63251596333095,125.79890054092992
2022-07-06,120503,92.48573818811222,125.49613394035548
2022-07-07,120503,93.05758760377743,123.42173704283661
2022-07-08,120503,92.07740358291234,123.34973326206222
2022-07-11,120503,93.8360095135579,122.17964866164392
2022-07-12,120503,93.00095915762041,120.88015897066691
2022-07-13,120503,92.6880352782206,121.14596737014844
2022-07-14,120503,93.63921904637571,122.88078039270324
2022-07-15,120503,92.30295257578378,124.05836731679176
2022-07-18,120503,92.60104673475155,122.15965325616321
2022-07-19,120503,94.09986070545851,120.99959081730591
2022-07-20,120503,92.33174325430838,122.18631994162567
2022-07-21,120503,92.58247991820022,121.03472927954748
2022-07-22,120503,92.91749828111442,120.81125904628828
2022-07-25,120503,93.83569733438904,121.52410841614892
2022-07-26,120503,92.48977359277407,120.39594609434512
2022-07-27,120503,91.0704736813715,120.57097231035898
2022-07-28,120503,91.68641050558891,119.01075318919216
2022-07-29,120503,92.05900721480882,118.3426653279654
2022-08-01,120503,92.38175819582321,118.7684408581982
2022-08-02,120503,92.81201501152661,116.9239744142571
2022-08-03,120503,92.10104744302416,117.48576457393689
2022-08-04,120503,92.40378767211818,117.50968726155196
2022-08-05,120503,92.77496164509705,118.20592035404364
2022-08-08,120503,92.0260620210174,118.51788248515918
2022-08-09,120503,94.132473622586,120.1820399898822
2022-08-10,120503,94.7147766385482,120.38061016772758
2022-08-11,120503,93.40812549111223,119.91184140129407
2022-08-12,120503,94.19075885626073,120.1064553257284
2022-08-15,120503,93.13618216174487,120.80703391238885
2022-08-16,120503,94.06242291319609,120.91438312768182
2022-08-17,120503,95.41721781270812,121.01183007395315
2022-08-18,120503,94.52523973931204,120.21074181760076
2022-08-19,120503,95.6652626740931,119.46194800382412
2022-08-22,120503,96.18696085505698,117.83415320252941
2022-08-23,120503,97.18391195664321,119.94288580377315
2022-08-24,120503,99.44455705933618,118.49893749811416
2022-08-25,120503,99.20144918782347,117.72525177585604
2022-08-26,120503,98.35378927470298,116.926595114399
